cover_method_name,count
Braun-Blanquet,1161
Modified Tens,1213
Ordinale scale (1-9),87
SW GAP: AZ Cover Method 1,143
SW GAP: AZ Cover Method 2,8905
Presence Only,47
Hult-Sernander-DuRietz-Daniels,131
Domin Cover Scale,66
Braun Blanquet modified top,288
Percentage (%),75628
Westhoff and van der Maarel,70
,30759
Braun-blanquet (MN),788
Thompson,125
Presence/Absence,9
NC Botanical Garden,246
Fort Hood cover codes,401
Virginia Heritage Cover Method,310
NPS CoverMethod,3584
COSW Cover Method,126
Carolina Vegetation Survey,14487
NYNHP Percentage,265
